# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     3.110         2         5          9400
     3.780         1         0          9456
     3.910         3         0          9481
     3.270         1         0          9552
     4.130         2         0          9866
     3.180         1         1          9939
     2.790         1         0          9948
     2.740         0         1         10035
     4.460         5         0         10167
     2.730         1         0         10189
     2.880         1         0         10320
     2.590         1         0         10351
     4.210         1         0         10360
     2.680         1         0         10397
     2.520         0         2         10445
     4.320         2         0         10471
     3.260         3         0         10563
     3.790         1         0         10464
     3.920         1         0         10579
     3.810         1         0         10731
     2.720         1         0         10771
     3.060         0         1         10835
     2.960         0         1         11136
     3.240         0         1         11350
     2.420         0         1         11364
     3.660         0         1         11451
     2.600         1         0         11629
     3.510         1         0         11647
     4.480         4         1         11677
     2.470         1         0         11706
     4.720         1         0         11782
     2.580         0         1         12053
     3.150         3         0         12067
     3.530         1         0         12141
     3.330         0         1         12233
     2.450         1         0         12248
     2.850         0         1         12305
     2.890         0         1         12346
     3.110         0         4         12393
     2.870         0         2         12439
     2.930         1         0         12495
     3.070         1         0         12644
     3.240         1         0         12714
     2.960        10         0         12732
     2.860         1         0         12898
     2.820         0         1         12983
     4.900         4         0         13011
     3.270         0         3         13370
     2.720         1         0         13319
     2.650         3         0         13326
     2.930         4         5         13347
     3.040         0         3         13362
     2.720         1         0         13465
     3.200         3         0         13471
     3.060         2         0         13488
     2.690         5         0         13517
     3.310         1         0         13538
     2.960         0         1         13543
     3.080         0         2         13546
     2.490         1         0         13554
     3.750         4         5         13600
     3.230         1         0         13614
     3.230         1         0         13618
     2.980         0         1         13651
     2.640         1         0         13677
     2.900         1         0         13669
     2.580         1         0         13707
     2.890         1         0         13713
     4.160         2         1         13718
     3.880         1         0         12291
     2.940         2         0         13783
     3.240         6         3         13809
     2.960         1         1         13804
     3.160         2         0         13813
     3.480         5         0         13826
     2.470         1         1         13949
     3.170         2         1         14025
     3.250         2         3         14052
     2.480         2         0         14118
     2.820         1         1         14132
     2.820         1         0         14180
     2.720         1         0         14195
     2.660         1         1         14198
     4.340         3         1         14208
     2.520         3         1         14276
     2.540         2         0         14284
     2.620         1         0         14296
     4.280         7         9         14427
     3.580        17         6         14319
     3.060         1         2         14331
     2.460         1         0         14371
     2.810         0         1         14373
     3.070         1         0         14396
     2.750         1         0         14404
     3.330         1         0         14422
     2.690         0         1         14425
     4.920       113        31         14570
     3.850         3         0         14936
     2.780         1         0         15019
     3.360         1         0         15041
     4.060         1         0         15059
     4.580         8         0         15098
     2.510         1         0         15161
     2.430         1         0         15170
     3.030         3         0         15186
     4.270        13         2         15229
     2.650         1         0         15203
     3.510         2         1         15254
     4.310         3         0         15400
     2.710         1         0         15473
     2.580         1         3         15502
     2.590         1         0         15525
     4.160         3         0         15537
     3.550         1         0         15542
     4.960         2         0         15585
     4.060         2         1         15598
     3.580         1         0         15620
     3.610         2         0         15628
     3.710         1         0         15719
     2.520         2         0         15739
     3.410         9         5         15755
     4.460         1         0         15772
     2.720         1         1         15781
     3.980         4         0         15806
     2.970         1         1         15809
     2.930         0         6         15898
     2.830         1         0         15932
     2.880         1         0         16042
     2.530         1         0         16081
     2.940         1         0         16130
     4.340         3         0         16196
     2.950         1         0         16205
     2.930         2         0         16217
     3.190        10         0         16220
     2.980         2         0         16245
     2.740         2         0         16402
     5.180        19         0         16392
     2.890         1         0         16425
     2.960         1         0         16532
     2.570         0         1         16622
     3.840         0         1         16644
     2.570         1         0         16650
     3.740         1         0         16666
     2.770         0         1         16702
     5.150         3         0         16768
     3.210         2         1         16826
     3.380         0         1         16853
     3.020         1         0         16904
     3.920         2         0         16924
     3.650         2         1         16997
     4.460         2         0         17118
     6.200        78         0         17137
     2.550         2         0         17259
     3.610        25         2         17302
     3.340         0         4         17477
     2.850         1         2         17660
