id,latitude,longitude,time,magnitude,is_background,gen_0_parent,generation
55,19.625944264008897,-155.77462956068703,2020-10-22 09:24:36.906195000,3.0,True,55,0
56,19.111561745514692,-155.5500160158513,2020-10-23 23:09:39.798632000,5.9,True,56,0
57,19.179142420664395,-155.7020607858479,2020-10-26 13:40:36.937844000,3.1,True,57,0
58,19.657658419112952,-155.24889745520662,2020-10-28 00:36:26.545261000,2.9,True,58,0
59,19.30519347639083,-155.4601051738135,2020-10-29 22:45:50.555186000,2.5,True,59,0
60,19.92088720239496,-155.46676981561197,2020-11-04 13:01:09.471772000,2.5,True,60,0
61,19.88961034586452,-155.33253785937646,2020-11-09 03:01:24.342444000,2.6,True,61,0
62,19.874899137138485,-155.631949426396,2020-11-10 03:14:19.598378000,3.0,True,62,0
63,18.985125840307443,-155.6960143510028,2020-11-10 13:29:38.460570000,2.5,True,63,0
64,19.984854495303722,-155.23118250368526,2020-11-18 01:56:32.630588000,3.4,True,64,0
65,20.07995708466232,-155.42046536709498,2020-11-24 19:06:14.627437000,2.9,True,65,0
66,19.752151270729176,-155.5716353933018,2020-11-26 10:46:23.826406000,2.6,True,66,0
67,19.70006248320358,-155.38530781732123,2020-12-02 19:36:16.581425000,2.8,True,67,0
68,19.515075075744548,-155.32882205457992,2020-12-08 15:56:15.971044000,3.0,True,68,0
